show_id,genre_id
413,16
414,16
415,16
416,16
417,16
418,16
419,16
420,16
421,16
422,16
423,16
424,16
425,16
426,72
427,31
428,19
429,8
430,31
431,14
432,43
433,16
434,19
435,17
436,24
437,31
438,2
439,31
440,31
441,29
442,39
443,45
444,19
445,29
446,31
447,31
448,31
449,31
450,31
451,31
452,2
453,19
454,9
455,19
456,27
457,43
458,27
459,31
460,71
461,16
462,19
463,27
464,39
465,2
466,24
467,56
468,27
469,19
470,31
471,50
472,16
473,45
474,27
475,2
476,67
477,19
478,71
479,43
480,39
481,19
482,2
483,29
484,31
485,67
486,78
487,16
488,43
489,59
490,19
491,24
492,19
493,31
494,9
495,19
496,27
497,2
498,29
499,31
500,29
501,2
502,31
503,31
504,24
505,43
506,31
507,42
508,19
509,31
510,45
511,43
512,68
513,45
514,70
515,14
516,14
517,43
518,43
519,31
520,14
521,71
522,43
523,45
524,14
525,43
526,45
527,71
528,45
529,31
530,31
531,45
532,31
533,24
534,43
535,31
536,45
537,29
538,43
539,14
540,45
541,14
542,19
543,31
544,24
545,43
546,45
547,43
548,45
549,59
550,43
551,39
552,42
553,19
554,24
555,31
556,2
557,39
558,39
559,2
560,2
561,27
562,2
563,19
564,2
565,19
566,43
567,2
568,2
569,16
570,31
571,2
572,43
573,19
574,16
575,16
576,19
577,31
578,43
579,31
580,2
581,2
582,2
583,19
584,19
585,19
586,31
587,39
588,43
589,45
590,31
591,9
592,31
593,19
594,16
595,2
596,16
597,19
598,2
599,31
600,31
601,78
602,2
603,2
604,16
605,31
606,2
607,31
608,39
609,2
610,2
611,2
612,2
613,2
614,31
615,31
616,31
617,31
618,43
619,2
620,31
621,56
622,9
623,78
624,19
625,31
626,24
627,14
628,9
629,45
630,31
631,31
632,9
633,19
634,31
635,27
636,31
637,2
638,43
639,59
640,9
641,43
642,27
643,43
644,39
645,19
646,27
647,19
648,43
649,56
650,31
651,31
652,19
653,19
654,29
655,19
656,19
657,42
658,56
659,43
660,43
661,70
662,43
663,71
664,43
665,45
666,24
667,43
668,71
669,24
670,24
671,2
672,2
673,2
674,43
675,72
676,43
677,24
678,71
679,24
680,24
681,29
682,14
683,43
684,31
685,24
686,31
687,43
688,2
689,19
690,2
691,2
692,43
693,43
694,19
695,19
696,31
697,70
698,43
699,31
700,43
701,9
702,31
703,19
704,43
705,19
706,27
707,43
708,43
709,31
710,43
711,29
712,31
713,2
714,45
715,24
716,43
717,27
718,27
719,19
720,45
721,45
722,2
723,27
724,56
725,27
726,43
727,75
728,27
729,39
730,50
731,50
732,43
733,50
734,45
735,24
736,19
737,16
738,9
739,8
740,16
741,19
742,31
743,31
744,31
745,43
746,42
747,31
748,19
749,56
750,24
751,31
752,45
753,2
754,43
755,31
756,16
757,31
758,27
759,59
760,50
761,50
762,29
763,19
764,70
765,19
766,2
767,67
768,43
769,19
770,27
771,27
772,75
773,43
774,31
775,31
776,31
777,2
778,19
779,9
780,2
781,45
782,27
783,31
784,19
785,19
786,45
787,2
788,2
789,78
790,14
791,27
792,2
793,19
794,19
795,19
796,71
797,25
798,31
799,19
800,31
801,31
802,2
803,2
804,9
805,39
806,43
807,2
808,2
